,Food price inflation,Net exports Value,Food CPI,PPI Value
count,3760.0,3760.0,3760.0,3760.0
mean,0.610225390127926,-1629591.5436170213,132180.39278305686,83.0089077808316
std,24.25146051450499,62457242.51940837,7542290.200078753,23.451693277444623
min,-0.177833583,-823319451.0,0.000357,2.228191489
25%,0.01698402075,-4826621.5,61.022297815,67.47188431
50%,0.0429607915,-808820.0,83.05200354,87.47894068
75%,0.0846959165,1535754.0,99.885641895,100.0369747
max,1434.915544,362629242.0,462397145.2,186.5438462
