trade_date,0
2015/1/5,-464.579858063346
2015/1/6,-469.0690979895646
2015/1/7,-473.9310867260879
2015/1/8,-474.98220788512936
2015/1/9,-476.51244687425657
2015/1/12,-480.58532076806904
2015/1/13,-482.1518403955202
2015/1/14,-483.9680885444166
2015/1/15,-481.07557942804385
2015/1/16,-480.8789146296471
2015/1/19,-491.9582209730792
2015/1/20,-489.30196640009774
2015/1/21,-484.75383596699623
2015/1/22,-485.9214246470996
2015/1/23,-486.319830217083
2015/1/26,-484.3286515396316
2015/1/27,-486.9967412738896
2015/1/28,-489.8230469633448
2015/1/29,-491.2578306975116
2015/1/30,-490.2018958801809
2015/2/2,-492.62381097804416
2015/2/3,-488.9952733496574
2015/2/4,-490.042882024187
2015/2/5,-493.29853170337645
2015/2/6,-493.02940463189225
2015/2/9,-483.1784865774059
2015/2/10,-484.47877045514565
2015/2/11,-484.229335219973
2015/2/12,-483.71917589233647
2015/2/13,-484.76809578641127
2015/2/16,-483.91404811291045
2015/2/17,-485.08033842046757
2015/2/25,-483.5492917872876
2015/2/26,-480.6490340138126
2015/2/27,-476.2075244929906
2015/3/2,-476.5904821422906
2015/3/3,-481.4524904853238
2015/3/4,-480.0777239515016
2015/3/5,-481.8060506263428
2015/3/6,-483.71995983903935
2015/3/9,-475.6620868615391
2015/3/10,-479.4058015730681
2015/3/11,-475.35505456560026
2015/3/12,-474.42680195643743
2015/3/13,-477.21496208384946
2015/3/16,-473.0761042092259
2015/3/17,-469.7861410437251
2015/3/18,-466.96328344695104
2015/3/19,-471.22526068105395
2015/3/20,-473.24827269652616
2015/3/23,-471.20436420680926
2015/3/24,-470.4470518364825
2015/3/25,-473.21109853273146
2015/3/26,-466.99537155207554
2015/3/27,-471.0663753378383
2015/3/30,-468.7273772863612
2015/3/31,-469.7066161312007
2015/4/1,-470.06718551795143
2015/4/2,-470.89221732151947
2015/4/3,-468.67017687799193
2015/4/7,-465.2575764490992
2015/4/8,-461.1763820261675
2015/4/9,-466.0285027454238
2015/4/10,-465.56423605805776
2015/4/13,-461.80621565560676
2015/4/14,-459.5289578247361
2015/4/15,-460.17119611700036
2015/4/16,-439.01801532655674
2015/4/17,-432.9410820803771
2015/4/20,-431.83254441826415
2015/4/21,-407.8672657592205
2015/4/22,-401.43019986093395
2015/4/23,-409.3415508366363
2015/4/24,-407.18616521886344
2015/4/27,-409.73613233017886
2015/4/28,-417.200990333418
2015/4/29,-415.3916234264984
2015/4/30,-412.19094005783273
2015/5/4,-409.99537357037576
2015/5/5,-424.24391356458636
2015/5/6,-422.7642524812593
2015/5/7,-420.79606524642793
2015/5/8,-411.4441574294882
2015/5/11,-407.9871809478546
2015/5/12,-411.07225785968757
2015/5/13,-409.0205226599061
2015/5/14,-414.1163069698112
2015/5/15,-420.4836443494515
2015/5/18,-424.13473647713454
2015/5/19,-415.09296296492016
2015/5/20,-411.17246310190717
2015/5/21,-405.99568074132435
2015/5/22,-388.7030445062732
2015/5/25,-377.47448152030574
2015/5/26,-378.38693289642976
2015/5/27,-386.9753647571638
2015/5/28,-403.6541482368848
2015/5/29,-401.08089778818254
2015/6/1,-392.75920498126726
2015/6/2,-397.2685160076637
2015/6/3,-400.97588803665406
2015/6/4,-406.0294965111842
2015/6/5,-409.9566731817834
2015/6/8,-399.0358484609817
2015/6/9,-404.6922466273265
2015/6/10,-404.0211467619101
2015/6/11,-405.01354459792185
2015/6/12,-398.5262652808252
2015/6/15,-403.4409221310806
2015/6/16,-410.9442889920317
2015/6/17,-409.5370848293508
2015/6/18,-422.7264896871079
2015/6/19,-432.0202024017011
2015/6/23,-414.54844192495614
2015/6/24,-404.93982748050723
2015/6/25,-414.3147738354919
2015/6/26,-424.492580522034
2015/6/29,-420.0684205541492
2015/6/30,-408.64842434626837
2015/7/1,-409.49518932770087
2015/7/2,-407.8119091342095
2015/7/3,-418.9801323804293
2015/7/6,-414.6535054457917
2015/7/7,-424.85222250938443
2015/7/8,-432.87612189860266
2015/7/9,-411.13009222628136
2015/7/10,-402.5775247898413
2015/7/13,-409.7525681527982
2015/7/14,-418.7708375780121
2015/7/15,-417.26170435967066
2015/7/16,-416.4940874317807
2015/7/17,-438.832676112733
2015/7/20,-442.0303682750499
2015/7/21,-445.1289257055024
2015/7/22,-449.6215632600615
2015/7/23,-447.0032279109843
2015/7/24,-447.73673615377834
2015/7/27,-466.1038707759079
2015/7/28,-461.51421144585447
2015/7/29,-459.2756766888341
2015/7/30,-455.1209886681672
2015/7/31,-454.2564710523243
2015/8/3,-451.29945219221673
2015/8/4,-448.5338639284971
2015/8/5,-453.6225201404158
2015/8/6,-456.0865913138635
2015/8/7,-453.96682357927557
2015/8/10,-448.3461937244894
2015/8/11,-449.9659492377693
2015/8/12,-451.5657874134284
2015/8/13,-451.43686416652343
2015/8/14,-450.9403255583046
2015/8/17,-454.50458855104034
2015/8/18,-460.21032475087173
2015/8/19,-459.44031447366376
2015/8/20,-466.16009342558226
2015/8/21,-475.35232409000764
2015/8/24,-492.54426316557317
2015/8/25,-486.09687953878114
2015/8/26,-478.7578918882938
2015/8/27,-465.39065837801536
2015/8/28,-469.44089577147315
2015/8/31,-466.8332286687903
2015/9/1,-467.9641739329947
2015/9/2,-467.7317323046603
2015/9/7,-473.90651164797305
2015/9/8,-473.08000161945927
2015/9/9,-470.38712019362333
2015/9/10,-468.9520488166424
2015/9/11,-469.3426526055152
2015/9/14,-460.20058558408147
2015/9/15,-460.8593734726753
2015/9/16,-457.91970640871074
2015/9/17,-464.614282219196
2015/9/18,-463.2376034788921
