Day,Year,Month,Day_num,Last_day_value,Today_value
2015/6/29,2015,6,42184,,-420.0684206
2015/6/30,2015,6,42185,,-408.64842430000004
2015/7/1,2015,7,42186,-447.8256636741669,-409.4951893
2015/7/2,2015,7,42187,-447.3525974325002,-407.8119091
2015/7/3,2015,7,42188,-446.93518938583355,-418.98013239999995
2015/7/6,2015,7,42191,-446.4412095416668,-414.6535054
2015/7/7,2015,7,42192,-446.0234596633335,-424.8522225
2015/7/8,2015,7,42193,-445.6598236216668,-432.87612189999993
2015/7/9,2015,7,42194,-445.08103005000015,-411.1300922
2015/7/10,2015,7,42195,-444.4179107533335,-402.5775248
2015/7/13,2015,7,42198,-443.79944808416684,-409.7525682
2015/7/14,2015,7,42199,-443.28024190250017,-418.7708376
2015/7/15,2015,7,42200,-442.75009848416687,-417.2617044
2015/7/16,2015,7,42201,-442.12123070416686,-416.49408739999996
2015/7/17,2015,7,42202,-441.70065328500016,-438.8326761
2015/7/20,2015,7,42205,-441.3446243875002,-442.0303683
2015/7/21,2015,7,42206,-441.00468689666684,-445.1289257
2015/7/22,2015,7,42207,-440.69886800583356,-449.62156330000005
2015/7/23,2015,7,42208,-440.3878228091669,-447.0032279
2015/7/24,2015,7,42209,-440.06065610000024,-447.7367362
2015/7/27,2015,7,42212,-439.86299629833354,-466.10387080000004
2015/7/28,2015,7,42213,-439.6151328041669,-461.5142114
2015/7/29,2015,7,42214,-439.3574143108336,-459.2756767
2015/7/30,2015,7,42215,-439.04489079166694,-455.1209887
2015/7/31,2015,7,42216,-438.7554007733336,-454.2564711
2015/8/3,2015,8,42219,-438.4325388583336,-451.29945219999996
2015/8/4,2015,8,42220,-438.0594999600002,-448.5338639
2015/8/5,2015,8,42221,-437.7311092558336,-453.62252010000003
2015/8/6,2015,8,42222,-437.5053434616669,-456.08659129999995
2015/8/7,2015,8,42223,-437.2510772375002,-453.96682360000005
2015/8/10,2015,8,42226,-436.9520510583336,-448.3461937
2015/8/11,2015,8,42227,-436.670774169167,-449.96594919999995
