Day,Year,Month,Day_num,Last_day_value,Today_value
2015/6/8,2015,6,42163,7.805099472483338,6.028779157000001
2015/6/9,2015,6,42164,7.732677074216671,5.931911454
2015/6/10,2015,6,42165,7.661459167250004,5.733683742
2015/6/11,2015,6,42166,7.582024583366671,5.613859047
2015/6/12,2015,6,42167,7.507767111383337,5.687886511
2015/6/15,2015,6,42170,7.4381757370000035,6.153619577000001
2015/6/16,2015,6,42171,7.367181583950003,5.7333877929999995
2015/6/17,2015,6,42172,7.29682231996667,5.569617785
2015/6/18,2015,6,42173,7.2180699550500025,5.015908305
2015/6/19,2015,6,42174,7.143906026350002,5.191271284
2015/6/22,2015,6,42177,7.064949592733337,4.845096488
2015/6/23,2015,6,42178,6.988154126450002,4.804253702
2015/6/24,2015,6,42179,6.915792366183336,4.9464185689999995
2015/6/25,2015,6,42180,6.840717210933335,5.091427786000001
2015/6/26,2015,6,42181,6.832242386050002,5.110246208
2015/6/29,2015,6,42184,6.8369758645333345,5.64233081
2015/6/30,2015,6,42185,6.850291646733335,5.745509789
2015/7/1,2015,7,42186,6.874302528166667,6.430675707000001
2015/7/2,2015,7,42187,6.89352652765,6.374628525
2015/7/6,2015,7,42191,6.92092490965,6.645925802000001
2015/7/7,2015,7,42192,6.9332967768666665,5.837086152
2015/7/8,2015,7,42193,6.945792761233333,6.125076087999999
2015/7/9,2015,7,42194,6.971160721516666,6.4979457510000005
2015/7/10,2015,7,42195,6.990499563299999,6.0193189039999995
2015/7/13,2015,7,42198,7.000456893966666,5.384432134
2015/7/14,2015,7,42199,7.0075145024499985,5.274351925
2015/7/15,2015,7,42200,7.0258783518499985,5.610701164
2015/7/16,2015,7,42201,7.042107677983333,5.311214197
2015/7/17,2015,7,42202,7.063581400383333,5.338236505
2015/7/20,2015,7,42205,7.06523543085,5.0072271619999995
2015/7/21,2015,7,42206,7.062412892083333,5.13688217
2015/7/22,2015,7,42207,7.056429652549999,5.160413032
2015/7/23,2015,7,42208,7.05094822055,5.17826729
2015/7/24,2015,7,42209,7.051901760433333,5.396839892999999
2015/7/27,2015,7,42212,7.0609167852666666,5.551314197999999
2015/7/28,2015,7,42213,6.9715120906833326,5.498425495
2015/7/29,2015,7,42214,6.880660019599999,5.339799155
2015/7/30,2015,7,42215,6.7856789676833325,5.169087495
2015/7/31,2015,7,42216,6.690841152116665,5.093092866
2015/8/3,2015,8,42219,6.588143967216665,4.8255943960000005
2015/8/4,2015,8,42220,6.490882942216664,4.57644926
2015/8/5,2015,8,42221,6.386322477916664,4.128568242
2015/8/6,2015,8,42222,6.275723599783331,4.057817712
2015/8/7,2015,8,42223,6.166925982383331,3.8083937260000003
2015/8/10,2015,8,42226,6.071423698599998,3.9158423989999998
2015/8/11,2015,8,42227,5.981428617116665,4.262493396
2015/8/12,2015,8,42228,5.892245120699998,4.563218901
2015/8/13,2015,8,42229,5.809386861266665,4.30786597
2015/8/14,2015,8,42230,5.723552084083332,4.117652276
2015/8/17,2015,8,42233,5.6261382338333314,3.713138348
2015/8/18,2015,8,42234,5.515420120833331,3.27458169
2015/8/19,2015,8,42235,5.408401241683332,3.547355853
2015/8/20,2015,8,42236,5.313237211249998,4.02591603
2015/8/21,2015,8,42237,5.234426855116665,4.626515191
2015/8/24,2015,8,42240,5.180529309266665,6.304681539
2015/8/25,2015,8,42241,5.219175188983331,7.195828467999999
2015/8/26,2015,8,42242,5.242117002999998,6.153472315
2015/8/27,2015,8,42243,5.2514854242999975,5.778444892
2015/8/28,2015,8,42244,5.249436141249998,5.527206705
2015/8/31,2015,8,42247,5.245108562933331,5.76932685
2015/9/1,2015,9,42248,5.350232437649998,12.33621164
2015/9/2,2015,9,42249,5.456580184916665,12.31277629
2015/9/3,2015,9,42250,5.562859337549998,12.1104329
2015/9/4,2015,9,42251,5.679131625099998,12.5901963
2015/9/8,2015,9,42255,5.790560921916665,12.37364432
2015/9/9,2015,9,42256,5.90335058113333,12.92099913
2015/9/10,2015,9,42257,6.01751612058333,12.58332016
2015/9/11,2015,9,42258,6.133336094999996,12.51881625
2015/9/14,2015,9,42261,6.26021616808333,12.62871269
2015/9/15,2015,9,42262,6.37695718268333,12.19573216
2015/9/16,2015,9,42263,6.490630680549996,11.66550636
2015/9/17,2015,9,42264,6.601080890016663,11.43126627
2015/9/18,2015,9,42265,6.709459004699996,11.44910545
2015/9/21,2015,9,42268,6.811240246933329,11.19830232
2015/9/22,2015,9,42269,6.923786025799997,11.86299294
2015/9/23,2015,9,42270,7.027843962966663,11.88580704
2015/9/24,2015,9,42271,7.1289507918166635,11.81191952
2015/9/25,2015,9,42272,7.2097189983666645,11.2767681
2015/9/28,2015,9,42275,7.298330792283331,11.69133616
