Year,Month,Day,Day_num,Close_Last_Day,Close
2015,1,2015/1/2,42006,,17832.99023
2015,1,2015/1/5,42009,17832.99023,17501.65039
2015,1,2015/1/6,42010,17501.65039,17371.64063
2015,1,2015/1/7,42011,17371.64063,17584.51953
2015,1,2015/1/8,42012,17584.51953,17907.86914
2015,1,2015/1/9,42013,17907.86914,17737.36914
2015,1,2015/1/12,42016,17737.36914,17640.83984
2015,1,2015/1/13,42017,17640.83984,17613.67969
2015,1,2015/1/14,42018,17613.67969,17427.08984
2015,1,2015/1/15,42019,17427.08984,17320.71094
2015,1,2015/1/16,42020,17320.71094,17511.57031
2015,1,2015/1/20,42024,17511.57031,17515.23047
2015,1,2015/1/21,42025,17515.23047,17554.2793
2015,1,2015/1/22,42026,17554.2793,17813.98047
2015,1,2015/1/23,42027,17813.98047,17672.59961
2015,1,2015/1/26,42030,17672.59961,17678.69922
2015,1,2015/1/27,42031,17678.69922,17387.21094
2015,1,2015/1/28,42032,17387.21094,17191.36914
2015,1,2015/1/29,42033,17191.36914,17416.84961
2015,1,2015/1/30,42034,17416.84961,17164.94922
2015,2,2015/2/2,42037,17164.94922,17361.03906
2015,2,2015/2/3,42038,17361.03906,17666.40039
2015,2,2015/2/4,42039,17666.40039,17673.01953
2015,2,2015/2/5,42040,17673.01953,17884.88086
2015,2,2015/2/6,42041,17884.88086,17824.28906
2015,2,2015/2/9,42044,17824.28906,17729.21094
2015,2,2015/2/10,42045,17729.21094,17868.75977
2015,2,2015/2/11,42046,17868.75977,17862.14063
2015,2,2015/2/12,42047,17862.14063,17972.38086
2015,2,2015/2/13,42048,17972.38086,18019.34961
2015,2,2015/2/17,42052,18019.34961,18047.58008
2015,2,2015/2/18,42053,18047.58008,18029.84961
2015,2,2015/2/19,42054,18029.84961,17985.76953
2015,2,2015/2/20,42055,17985.76953,18140.43945
2015,2,2015/2/23,42058,18140.43945,18116.83984
2015,2,2015/2/24,42059,18116.83984,18209.18945
2015,2,2015/2/25,42060,18209.18945,18224.57031
2015,2,2015/2/26,42061,18224.57031,18214.41992
2015,2,2015/2/27,42062,18214.41992,18132.69922
2015,3,2015/3/2,42065,18132.69922,18288.63086
2015,3,2015/3/3,42066,18288.63086,18203.36914
2015,3,2015/3/4,42067,18203.36914,18096.90039
2015,3,2015/3/5,42068,18096.90039,18135.7207
2015,3,2015/3/6,42069,18135.7207,17856.7793
2015,3,2015/3/9,42072,17856.7793,17995.7207
