,Worker,Accuracy
0,3884,0.5036722140143874
1,2172,0.06528771547087434
2,5466,0.6344873364542892
3,161,0.4151033746240266
4,1579,0.7907571119820587
5,308,0.6194501115682715
6,1164,0.08732320140609283
7,3507,0.5507869705173085
8,3391,0.853788397749771
9,718,0.8126915891298717
10,1211,0.30252404598529636
11,2863,0.5153858703086731
12,2168,0.24674312731754772
13,2124,0.660493830475694
14,2389,0.552111174196225
15,4507,0.7231216318836371
16,1242,0.0669108993235209
17,5501,0.38476643528882437
18,4643,0.5150576152654076
19,2010,0.538753161486486
20,5636,0.39171490886562604
21,1530,0.8151151251663716
22,585,0.34600840484057094
23,4430,0.6250008754608836
24,1055,0.23958986610180155
25,4790,0.4666326052240125
26,2872,0.8865580351019362
27,4508,0.6995844843221536
28,2175,0.8399102035907747
29,3484,0.8584937078713922
30,1285,0.6062017961021404
31,862,0.5951510629180881
32,2085,0.6976986181015707
33,4028,2.1377397172257176e-06
34,1844,0.44231643371929596
35,3250,0.6822508582552922
36,2486,0.76865435912067
37,3659,0.7209428825031505
38,4277,0.7796200430716749
39,660,0.7921807281831876
40,1658,0.33100052523910706
41,524,0.8875394301864197
42,3769,0.602875341677106
43,3498,0.3220068568811967
44,588,0.9680700724039524
45,2077,0.8936338951513753
46,655,0.23867900754580476
47,4796,0.6702795364282261
48,5878,0.06487524731633426
49,5345,0.10988436307669655
50,1266,0.8637639935585723
51,4932,0.6760018212132922
52,1168,0.5580915130405779
53,823,0.5166184265395664
54,3128,0.0592200493170178
55,1717,0.7512710950292485
56,187,0.5768366975763707
57,1605,0.7691113389436862
58,1399,0.5865072484533558
59,5213,0.49617995940934756
60,2555,0.5673643697893881
61,881,0.4774121461626624
62,1710,0.6685715238668919
63,1151,0.7184102872114237
64,5945,0.13185236021815538
65,1692,0.8414728563712797
66,2994,0.8082408533522181
67,509,0.7871690072327767
68,1244,0.6324324979280298
69,4088,0.5738191251929391
70,1889,0.9166370930980257
71,4194,0.4637631927389855
72,1694,0.5626984535440708
73,5964,0.954793685943114
74,1639,0.5519386664907714
75,5126,0.5099206224944852
76,1421,0.954135640052954
77,1514,0.5927547786693665
78,4680,0.1231102946039184
79,1264,0.4872434932652146
80,4083,0.32423444410543845
81,5457,0.34488692253655473
82,671,0.6912260809224413
83,1752,0.5568928506215244
84,465,0.30971649709307164
85,1100,0.060375314326165455
86,1265,0.6988746390601026
87,466,0.7247628490607088
88,1685,0.94895484673299
89,4647,0.8662013168335989
90,1943,0.5842280243992831
91,977,0.7717874217510172
92,2853,0.5744464632760915
93,877,0.9091116954927972
94,1019,0.30161184210537717
95,781,0.7970613532374735
96,4064,0.8707424535393309
97,2063,0.5554285015833124
98,1584,0.5331787384426757
99,5233,0.665832071614162
100,5458,0.856356475477798
101,232,0.6745356659210302
102,2507,0.8157620848244833
103,123,0.6897422356889047
104,5938,0.6883003996963508
105,4225,0.2040050734861993
106,2752,0.80355101805588
107,1470,0.05084479579807456
108,4458,0.08939688153080302
109,4024,0.6291125164378708
110,5497,0.3085529394568628
111,3735,0.5614343269707205
112,1303,0.34173429111455167
113,952,0.5925326534550017
114,1969,0.9036026045920181
115,4344,0.4036059814514637
116,533,0.9468513701116597
117,5049,0.8588789870807716
118,3926,0.914148981056675
119,3451,0.7544157920363599
120,3925,0.5028694959235516
121,3301,0.7726639958784183
122,3053,0.21608746650114383
123,4342,0.5181443213680499
124,5896,0.18927070140960406
125,5689,0.466345816233695
126,4337,0.019803078620236697
127,3985,0.4995291848759487
128,6002,0.5189903889247856
129,5482,0.6771227364558478
130,442,0.7691800433197739
131,3693,0.6952195975810673
132,3462,0.6545078222846799
133,2181,0.744278072307363
134,2208,0.8455138425954444
135,2645,0.40835658429871396
136,1306,0.8062868019538427
137,4346,0.7690905026160164
138,3942,0.01862146601164727
139,3425,0.601303651925926
