Year,Season,Month,Day,Day_Num,Volume,Close,C1,C2,G,NX(yi mei yuan),ISM,GDP Season,new_cases,new_deaths,GDP_per_day
2015,1,1,2015/1/2,42006,76270000,17832.99023,-15.77676034,4.915455343,1214.892,-435.9,55.1,1.63E+13,0,0,2.61E+11
2015,1,1,2015/1/5,42009,116160000,17501.65039,-16.49633038,5.16797743,1214.892,-435.9,55.1,1.63E+13,0,0,2.68E+11
2015,1,1,2015/1/6,42010,101870000,17371.64063,-16.54855084,5.513747026,1214.892,-435.9,55.1,1.63E+13,0,0,2.65E+11
2015,1,1,2015/1/7,42011,91030000,17584.51953,-13.48959019,4.621325994,1214.892,-435.9,55.1,1.63E+13,0,0,2.68E+11
2015,1,1,2015/1/8,42012,114890000,17907.86914,-10.82468074,4.108397128,1214.892,-435.9,55.1,1.63E+13,0,0,2.67E+11
2015,1,1,2015/1/9,42013,93390000,17737.36914,-12.40596842,4.281400758,1214.892,-435.9,55.1,1.63E+13,0,0,2.65E+11
2015,1,1,2015/1/12,42016,92500000,17640.83984,-12.34954477,4.684851573,1214.892,-435.9,55.1,1.63E+13,0,0,2.62E+11
2015,1,1,2015/1/13,42017,99360000,17613.67969,-12.65100814,4.59353098,1214.892,-435.9,55.1,1.63E+13,0,0,2.70E+11
2015,1,1,2015/1/14,42018,109180000,17427.08984,-14.53931372,3.927239962,1214.892,-435.9,55.1,1.63E+13,0,0,2.64E+11
2015,1,1,2015/1/15,42019,94520000,17320.71094,-14.10647882,4.122206062,1214.892,-435.9,55.1,1.63E+13,0,0,2.63E+11
2015,1,1,2015/1/16,42020,140480000,17511.57031,-13.4545341,3.736305871,1214.892,-435.9,55.1,1.63E+13,0,0,2.63E+11
2015,1,1,2015/1/20,42024,119600000,17515.23047,-13.37990131,3.450064832,1214.892,-435.9,55.1,1.63E+13,0,0,2.58E+11
2015,1,1,2015/1/21,42025,95530000,17554.2793,-13.69953767,3.41839788,1214.892,-435.9,55.1,1.63E+13,0,0,2.70E+11
2015,1,1,2015/1/22,42026,111980000,17813.98047,-11.37137166,2.99333532,1214.892,-435.9,55.1,1.63E+13,0,0,2.60E+11
2015,1,1,2015/1/23,42027,97110000,17672.59961,-12.30808344,3.269491968,1214.892,-435.9,55.1,1.63E+13,0,0,2.64E+11
2015,1,1,2015/1/26,42030,87220000,17678.69922,-12.4731471,3.286442481,1214.892,-435.9,55.1,1.63E+13,0,0,2.70E+11
2015,1,1,2015/1/27,42031,135940000,17387.21094,-15.8844941,4.001086828,1214.892,-435.9,55.1,1.63E+13,0,0,2.68E+11
2015,1,1,2015/1/28,42032,115980000,17191.36914,-17.60800826,4.385809024,1214.892,-435.9,55.1,1.63E+13,0,0,2.53E+11
2015,1,1,2015/1/29,42033,111690000,17416.84961,-16.54668786,4.394768325,1214.892,-435.9,55.1,1.63E+13,0,0,2.58E+11
