Day,C1,I,G,NX,new_cases,new_deaths,GDP
2021-03-04,71.7859302999106,267873819.037024,1518.0,-407.193913911995,0.0,48.6943435383728,315580621846.20795
2021-03-05,71.3799285597971,550562599.19194,1518.0,-460.153306879111,0.0,46.8236313415109,316212026941.1545
2021-03-06,67.662399583091,311801869.602743,1518.0,-400.879224228134,0.0,45.0458815960155,314208658995.93866
2021-03-07,67.2019386557712,353327548.879008,1518.0,-418.264368438443,0.0,43.2761112563894,314434723493.61475
2021-03-08,66.4639392073724,412322736.765987,1518.0,-397.59305311553,0.0,41.5520604566264,313788093391.1787
2021-03-09,66.7551436192325,350539138.709821,1518.0,-399.773966800669,0.0,39.8841103521117,314096571522.558
2021-03-10,68.4906174089819,537194926.43104,1518.0,-429.164603511391,0.0,38.2716031648743,315090134015.5704
2021-03-11,66.5005787349668,320156664.318446,1518.0,-444.075827804122,0.0,36.7138811163313,315092909127.56757
2021-03-12,65.0813015857729,365468905.091614,1518.0,-450.982066401968,0.0,35.2102864291228,314772908423.76715
2021-03-13,64.2771584911866,324687438.778797,1518.0,-449.061926729344,0.0,33.760161323793,314595642505.2423
2021-03-14,63.3522430877764,288403022.505262,1518.0,-440.416373176478,0.0,32.3628480228654,314236062753.17224
2021-03-15,64.2630899264476,262185353.235145,1518.0,-434.168852733985,0.0,31.0176887483103,314519840974.6781
2021-03-16,62.2540088495104,279938780.240112,1518.0,-427.397625725345,0.0,29.7240257212834,313758269886.30475
2021-03-17,61.7220229422395,261531405.911442,1518.0,-419.064067576544,0.0,28.481201164017,313503999465.4132
2021-03-18,62.2169881548542,339055409.817152,1518.0,-409.448519429389,0.0,27.2885572977539,313435534760.36414
2021-03-19,64.0613879682916,253640815.469358,1518.0,-486.458272711248,0.0,26.1454363450466,315749989639.94763
2021-03-20,62.7801669356735,368053000.529981,1518.0,-468.993360126031,0.0,25.0511805271381,314879330260.85754
2021-03-21,64.2308597911663,355341194.723672,1518.0,-406.695691680018,0.0,24.005132065533,314198542913.42456
2021-03-22,61.5230969480802,335130681.935041,1518.0,-400.839020071373,0.0,23.0066331831331,313257955747.8993
2021-03-23,62.9941765066865,155290796.123191,1518.0,-494.035938839962,0.0,22.0550261002791,315885590690.84766
2021-03-24,63.0824239101712,172659972.892187,1518.0,-407.582920540455,0.0,21.1496530399891,314224248573.6837
2021-03-25,60.7196017610006,204967475.115095,1518.0,-402.175710453215,0.0,20.2898562230112,313330081864.6544
2021-03-26,60.9345674221602,288410601.752392,1518.0,-401.433018457495,0.0,19.4749778721598,313316901073.0037
2021-03-27,57.9105170425511,339027960.839955,1518.0,-489.175647738397,0.0,18.7035280531854,314019821220.63245
2021-03-28,65.4291192148142,355027026.243768,1518.0,-475.489290392663,0.0,17.9504920881009,316272051022.25507
2021-03-29,67.6365566880254,413966477.997483,1518.0,-401.181551752563,0.0,17.2162498368416,315493469979.00055
2021-03-30,65.9585894305422,328837804.457352,1518.0,-400.10046238248,0.0,16.5078163661237,315063005522.70636
2021-03-31,60.4500889890018,275775283.054084,1518.0,-441.636453947596,0.0,15.8247705917456,314156129192.00305
2021-04-01,52.3131800542718,226141308.339134,1535.0,-401.025606120731,0.0,15.1666914316593,311849623695.4594
2021-04-02,52.3613194363107,226287407.919095,1535.0,-462.386856058232,0.0,14.5331578009354,313114309729.0903
2021-04-03,48.1617069395354,357655444.139761,1535.0,-400.699659035508,0.0,13.9237486178754,310346569571.4341
2021-04-04,48.4557116936119,315419608.416715,1535.0,-417.194146126043,0.0,13.3380427982775,310858142362.6134
2021-04-05,46.8845124101464,223064566.254923,1535.0,-410.875725793857,0.0,12.7756192588713,310361658737.95
2021-04-06,42.5866187654536,242505845.256169,1535.0,-406.396044353875,0.0,12.2360569164448,308841645290.9683
2021-04-07,40.2225756522298,181126636.620752,1535.0,-405.45858797134,0.0,11.7189346880477,308143694618.1868
2021-04-08,42.9949827951844,179563200.536908,1535.0,-401.237593830282,0.0,11.2238314897113,309011679486.85095
2021-04-09,38.0585272583353,232635447.191149,1535.0,-436.185052722464,0.0,10.7503262384271,308011932967.03577
2021-04-10,36.9205131943774,300106756.869163,1535.0,-456.69609588453,0.0,10.297997851012,307971892363.0405
2021-04-11,37.9940866496331,202942390.723112,1535.0,-407.915657527737,0.0,9.86642524393392,307515077907.2232
2021-04-12,39.1156250743497,227670002.997039,1535.0,-449.957278765756,0.0,9.45518733427161,308710291049.31055
2021-04-13,36.9398554650355,94970898.3630347,1535.0,-453.702510074106,0.0,9.06386303788167,308257073592.07477
2021-04-14,40.333210187869,119859995.027787,1535.0,-490.116156560551,0.0,8.69203127265791,310095831769.09033
2021-04-15,43.2669560242552,101712455.773966,1535.0,-407.532602661765,0.0,8.33922001736937,309479105677.0181
2021-04-16,40.0302715359431,170572915.216633,1535.0,-408.791167274012,0.0,7.99919240173767,308350174931.8652
2021-04-17,39.8144229006047,161578327.81717,1535.0,-400.855048153491,0.0,7.66907636713586,308149844673.9043
2021-04-18,44.578976524169,256469244.472578,1535.0,-408.830852564001,0.0,7.35080277328962,309785415331.1428
2021-04-19,48.1480221653995,268832882.961706,1535.0,-400.205113613376,0.0,7.04416536647477,310803343468.86755
2021-04-20,47.981203457875,217731463.896256,1535.0,-431.59486921621,0.0,6.7489578948007,311453586512.0749
2021-04-21,46.7251951183884,203521564.737512,1535.0,-429.496103256256,0.0,6.46497410660959,311026848957.2288
2021-04-22,41.3054769972029,294047746.246002,1535.0,-469.176452319488,0.0,6.19200774718774,309899365085.75134
2021-04-23,45.3856697594134,261418869.963522,1535.0,-454.954106934088,0.0,5.92985256630345,311034766648.583
2021-04-24,46.7560890998254,376052793.132006,1535.0,-406.773357903568,0.0,5.67830230970867,310395743192.5159
2021-04-25,47.8240999690297,315846961.46545,1535.0,-409.79133314658,0.0,5.43715072589112,310904636235.0127
2021-04-26,46.4632659912592,390333628.953807,1535.0,-393.524828103767,0.0,5.20619156147586,310040515342.1323
2021-04-27,47.389701102074,443906960.236997,1535.0,-400.960884816516,0.0,4.98521856460138,310436280759.1843
2021-04-28,45.8451479148798,455603607.5946,1535.0,-487.596816773972,0.0,4.77402548235841,311633960839.88
2021-04-29,46.1103152764897,412979445.450034,1535.0,-459.114446997631,0.0,4.57240606253617,311225173603.7661
2021-04-30,47.4112438698259,350935866.28455,1535.0,-403.619138866605,0.0,4.38015405164333,310651721977.62756
2021-05-01,44.9283524402709,341680920.678937,1535.0,-480.413857976224,0.0,4.19706319825491,311368142656.06555
2021-05-02,49.3517868659711,338031302.310277,1535.0,-400.693884841196,0.0,4.02292724954896,311276220396.94556
2021-05-03,51.023691360281,294822595.492057,1535.0,-439.799409577956,0.0,3.85753995197592,312675164366.4658
2021-05-04,50.0653810351853,328204712.713652,1535.0,-433.728354444861,0.0,3.70051532794605,312198645173.96716
2021-05-05,46.629547575355,329939475.498753,1535.0,-407.188973135838,0.0,3.54950924494187,310532550208.32874
2021-05-06,51.1033108382059,351882273.693061,1535.0,-464.401668022259,0.0,3.4034587983042,313136187099.6788
2021-05-07,52.5835612689942,463286859.556275,1535.0,-400.207118349994,0.0,3.26236314425478,312214998911.11395
2021-05-08,52.662305625258,397822861.854683,1535.0,-490.087146467484,0.0,3.12616292474559,314117709564.7354
2021-05-09,52.5223308374016,335688105.59067,1535.0,-400.424056656178,0.0,2.9947987832129,312383583071.8983
2021-05-10,55.2330365978843,359136403.870353,1535.0,-400.287557659598,0.0,2.86821136242361,313259588242.971
2021-05-11,57.2276103108528,358900539.153748,1535.0,-410.088131155801,0.0,2.7463413043879,314125348272.3397
2021-05-12,55.2558997985263,310174205.455527,1535.0,-487.41527665438,0.0,2.62912925254204,315072259700.68805
2021-05-13,58.35443616056,322087792.849076,1535.0,-415.301971520954,0.0,2.5165158486634,314665448514.39954
2021-05-14,60.1636604364052,212489889.620525,1535.0,-407.590691663707,0.0,2.40844173601363,315268124630.27576
2021-05-15,52.2637901609214,363664345.098597,1535.0,-407.562435957533,0.0,2.30484755689395,312436723805.79474
2021-05-16,54.0644091739711,301907174.197625,1535.0,-462.212213430283,0.0,2.20567395476974,314208190723.9693
2021-05-17,52.621118506779,319150571.644481,1535.0,-450.402757728176,0.0,2.11086157127284,313474683414.3393
2021-05-18,56.8415134053493,232760799.709621,1535.0,-427.996237621864,0.0,2.02035104963579,314557845438.6874
2021-05-19,56.661128203218,352437913.600534,1535.0,-474.812129345962,0.0,1.93408303274191,315269806762.29736
2021-05-20,64.7161734917088,251035302.396012,1535.0,-496.610309392185,0.0,1.85199816219392,318527300221.2208
2021-05-21,58.9661509949187,233516240.567339,1535.0,-404.29381930801,0.0,1.7740370821848,314807850679.6833
2021-05-22,60.5584228466739,248960960.817989,1535.0,-404.897389869995,0.0,1.70014043396804,315333708460.3778
2021-05-23,61.313514887866,386311426.058471,1535.0,-403.261268486869,0.0,1.63024886144558,315372503070.1388
2021-05-24,60.0755220685214,405684927.780718,1535.0,-479.58044326555,0.0,1.5643030058709,316450141218.12024
2021-05-25,58.4200315566653,294194396.389618,1535.0,-402.910541834295,0.0,1.50218449856038,314530967265.1266
