,Year,Confidence
count,54.0,54.0
mean,671.9435401789999,0.04927407407407406
std,2079.0212122130592,0.04757130570506738
min,6.715939447999999,0.001
25%,43.67831529,0.014624999999999999
50%,117.12344825000001,0.039749999999999994
75%,487.55272805,0.070425
max,14757.85714,0.2805
