new_cases,new_death
0.011138614,0
0.01299505,0
0.016243812,0
0.008818069,0
0.013459158,0
0.005569307,0
0.01717203,0
0.009746287,0
0.014387376,0
0.00835396,0
0.016243812,0
0.007889851,0
0.010674505,0
0.013923267,0
0.016707921,0
0.009746287,0
0.011138614,0
0.011602723,0
0.022277228,0
0.023205446,0
0.013459158,0
0.019028465,0
0.016243812,0
0.007889851,0
0.010674505,0
0.013923267,0
0.016707921,0
0.009746287,0
0.011138614,0
0.011602723,0
0.022277228,0
0.023205446,0
0.013459158,0
0.019028465,0
0.01299505,0
0.014851485,0
0.025990099,0
0.012530941,0
0.014851485,0.002325581
0.020420792,0.002325581
0.018564356,0
0.014851485,0
0.020420792,0
0.013459158,0
0.012530941,0.002325581
0.015779703,0
0.014851485,0
0.011602723,0
0.010210396,0
0.010674505,0
0.010674505,0
0.006497525,0
0.010210396,0
0.013923267,0
0.019956683,0
0.028310644,0
0.037128713,0
0.044554455,0
0.039913366,0
0.010210396,0
0.010210396,0
